Restaurant ID;Restaurant Name;Country;City;Address;Locality Verbose;Longitude;Latitude;Cuisines;Currency;Has Table booking;Has Online delivery;Is delivering now;Switch to order menu;Price range;Aggregate rating;Rating color;Rating text;Votes;Nummber of dishes in cuisines;Average cost of two in USD
18261158;Bemisaal Reloaded;India;New Delhi;B-26 & 27, Community Centre, Janakpuri, New Delhi;Janakpuri, New Delhi;77.091394;28.6291122;North Indian, Chinese;Indian Rupees(Rs.);0;1;0;0;3;3.8;3.7;3;128;2;14.575
313146;Ben's Foods;India;New Delhi;QU-272 A, Pitampura, New Delhi;Pitampura, New Delhi;77.138944;28.7120026;North Indian, Chinese;Indian Rupees(Rs.);0;1;0;0;1;3.2;2.95;2;9;2;4.081
18222593;Benchmark;India;New Delhi;D-323, Street 11-12, Laxmi Nagar, New Delhi;Laxmi Nagar, New Delhi;77.2761595;28.6305918;Chinese, Continental, Mexican;Indian Rupees(Rs.);0;0;0;0;2;2.8;2.95;2;14;3;5.83
18282004;Bengal Snacks;India;New Delhi;Shop 53, Market 1, Chittaranjan Park, New Delhi;Chittaranjan Park, New Delhi;77.24868078;28.54036184;Fast Food;Indian Rupees(Rs.);0;0;0;0;1;0.0;0.0;0;2;1;3.498
1775;Bengal Sweet Corner;India;New Delhi;AB 13, Community Center, Safdarjung Enclave, Safdarjung, New Delhi;Safdarjung, New Delhi;77.1991066;28.5654336;North Indian, South Indian, Chinese, Street Food, Mithai;Indian Rupees(Rs.);0;1;0;0;2;2.8;2.95;2;90;5;6.413
3322;Bengal Sweet Corner;India;New Delhi;36, Central Market, Ashok Vihar Phase 1, New Delhi;Ashok Vihar Phase 1, New Delhi;77.1725562;28.692666;North Indian, South Indian, Chinese, Fast Food, Mithai;Indian Rupees(Rs.);0;0;0;0;2;2.8;2.95;2;102;5;5.83
304281;Bengal Sweet Palace;India;New Delhi;A Block Market, Vasant Vihar, New Delhi;Vasant Vihar, New Delhi;77.16369264;28.56517455;Mithai, Street Food;Indian Rupees(Rs.);0;0;0;0;1;3.3;2.95;2;28;2;1.749
18198441;Bengali By Nature;India;Gurgaon;Shop 1016, Maruti Vihar, Chakkarpur, MG Road, Gurgaon;MG Road, Gurgaon;77.0827529;28.4766191;Fast Food, Chinese, Bengali;Indian Rupees(Rs.);0;1;0;0;1;3.3;2.95;2;38;3;4.664
6286;Bengali Pastry Shop & Snack Bar;India;New Delhi;34-37, Bengali Market, Barakhamba Road, New Delhi;Barakhamba Road, New Delhi;77.2319679;28.6295216;North Indian, South Indian, Chinese;Indian Rupees(Rs.);0;0;0;0;2;3.2;2.95;2;70;3;6.413
18371399;Bengali Restaurant;India;New Delhi;CB, Block Ring Road, Naraina, New Delhi;Naraina, New Delhi;77.1358184;28.6223489;Bengali, Chinese;Indian Rupees(Rs.);0;0;0;0;1;0.0;0.0;0;0;2;1.749
8715;Bengali Sweet Corner;India;New Delhi;3, Near PVR Cinema, Community Center, Naraina, New Delhi;Naraina, New Delhi;77.1384323;28.6324507;South Indian, Street Food, Desserts;Indian Rupees(Rs.);0;0;0;0;1;3.0;2.95;2;7;3;2.332
18264634;Bengali Sweet House;India;New Delhi;30-33, Bengali Market, Barakhamba Road, New Delhi;Barakhamba Road, New Delhi;77.2319464;28.6296407;North Indian, Street Food, Chinese, South Indian, Mithai;Indian Rupees(Rs.);0;0;0;0;1;3.6;3.7;3;85;5;4.664
17501315;Benson's Steak and Sushi;USA;Macon;1289 S Houston Lake Rd, Warner Robins, GA 31088;Warner Robins, Macon;-83.662421;32.556873;American, Chinese, Sushi;Dollar($);0;0;0;0;2;3.7;3.7;3;243;3;25.0
7602219;Bentoya;UK;Edinburgh;15 Bread Street, Old Town, Edinburgh EH3 9AL;Old Town, Edinburgh;-3.204735;55.945895;Sushi, Japanese, Cantonese;Pounds(ï¿½ï¿½);0;0;0;0;2;3.8;3.7;3;32;3;31.055
55;Berco's;India;New Delhi;G-2/43, Middle Circle, Connaught Place, New Delhi;Connaught Place, New Delhi;77.2172977;28.6324521;Chinese, Thai;Indian Rupees(Rs.);1;1;0;0;3;3.9;3.7;3;2639;2;12.826
834;Berco's;India;Noida;O-1, Sector 12, Noida;Sector 12, Noida;77.3388953;28.5939838;Chinese, Thai;Indian Rupees(Rs.);0;1;0;0;3;3.7;3.7;3;1182;2;12.826
1804;Berco's;India;Faridabad;Shop R-2, 3rd Floor, Crown Interiorz Mall, Sector 35, Faridabad;Crown Interiorz Mall, Sector 35, Faridabad, Faridabad;77.3072684;28.4700256;Chinese, Thai;Indian Rupees(Rs.);0;1;0;0;3;3.8;3.7;3;508;2;12.826
3086;Berco's;India;New Delhi;S-26, Janta Market, Rajouri Garden, New Delhi;Rajouri Garden, New Delhi;77.1163756;28.6421069;Chinese, Thai;Indian Rupees(Rs.);0;1;0;0;3;3.6;3.7;3;364;2;12.826
4830;Berco's;India;New Delhi;2nd Floor, MGF Metropolitan Mall, Saket, New Delhi;MGF Metropolitan Mall, Saket, New Delhi;77.2200822;28.5293802;Chinese, Thai;Indian Rupees(Rs.);0;1;0;0;3;3.8;3.7;3;565;2;12.826
7066;Berco's;India;New Delhi;Food Court, Moments Mall, Kirti Nagar, New Delhi;Moments Mall, Kirti Nagar, New Delhi;77.1467263;28.6568579;Chinese, Thai;Indian Rupees(Rs.);0;1;0;0;3;3.5;3.7;3;120;2;12.826
18433897;Berco's;India;New Delhi;Palate of Delhi, Dhaula Kuan Metro Station, Chanakyapuri, New Delhi;Palate of Delhi, Chanakyapuri, New Delhi;77.1622219;28.5921535;Chinese, Thai;Indian Rupees(Rs.);0;0;0;0;2;0.0;0.0;0;2;2;10.494
18463699;Berco's;India;Noida;104, Hazipur, Sector 104, Near Sector 110, Noida;Sector 110, Noida;77.365561;28.538929;Chinese, Thai;Indian Rupees(Rs.);1;0;0;0;3;3.1;2.95;2;9;2;12.826
18472436;Berco's;India;New Delhi;2nd Floor, Food Court, Pacific Mall, Tagore Garden, New Delhi;Pacific Mall, Tagore Garden, New Delhi;77.1064348;28.642553;Chinese, Thai;Indian Rupees(Rs.);1;0;0;0;3;3.1;2.95;2;5;2;12.826
17092293;Bern's Steak House;USA;Tampa Bay;1208 S Howard Ave, Tampa, FL 33606;Hyde Park, Tampa Bay;-82.482962;27.931516;American, Desserts, Steak;Dollar($);0;0;0;0;4;4.7;4.65;5;3157;3;70.0
301499;Bernardo's;India;Gurgaon;A-237, Supermart 1, DLF Phase 4, Gurgaon;Supermart 1, DLF Phase 4, Gurgaon;77.087339;28.4626259;Goan;Indian Rupees(Rs.);1;1;0;0;4;4.0;4.25;4;429;1;23.32
17558684;Berry Patch Restaurant;USA;Clatskanie;49289 Us-30, Westport, OR 97016;Clatskanie, Clatskanie;-123.368151;46.126967;American, Breakfast, Desserts;Dollar($);0;0;0;0;1;4.3;4.25;4;96;3;10.0
16607969;Bespoke Harvest;Australia;Forrest;16 Grant St, Forrest, VIC;Forrest, Forrest;143.714315;-38.517292;Cafe, Australian;Dollar($);0;0;0;0;2;3.7;3.7;3;29;2;20.0
18421487;Best Biryani;India;New Delhi;Shop 9, Mall Road, Metro Gate 2, Delhi University-GTB Nagar, New Delhi;Delhi University-GTB Nagar, New Delhi;77.2076069;28.69846;Mughlai;Indian Rupees(Rs.);0;0;0;0;1;0.0;0.0;0;0;1;4.664
